service_type,program_area,sector,classification,count,capacity,occupancy_rate
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,40,48,83.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,35,35,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,70,98.57
Warming Centre,Winter Programs,Mixed Adult,Emergency,20,25,80
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,112,112,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,5,6,83.33
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,39,48,81.25
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,34,35,97.14
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,12,25,48
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,18,22,81.82
Warming Centre,Winter Programs,Mixed Adult,Emergency,47,48,97.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,34,35,97.14
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,32,46,69.57
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,67,70,95.71
Warming Centre,Winter Programs,Mixed Adult,Emergency,57,60,95
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,148,150,98.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,111,99.1
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,70,98.57
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,148,150,98.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,47,48,97.92
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,58,60,96.67
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,45,46,97.83
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,59,60,98.33
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,111,99.1
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,46,95.65
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,148,150,98.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,47,48,97.92
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,58,60,96.67
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,23,95.65
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,70,98.57
Warming Centre,Winter Programs,Mixed Adult,Emergency,59,60,98.33
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,111,99.1
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
